Monument,Adresse,Longitude,Latitude,Source
Immeuble,"19 rue de la Douane
1 rue de l'Etal",7.749833,48.579773,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085105
Immeuble,8 rue du Fossé des Tailleurs,7.749125,48.581789,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085110
Immeuble,"29 rue des Frères
2 rue du Faisan",7.753642,48.58313,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085111
Immeuble,31 rue des Frères,7.753814,48.58313,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085112
Immeuble,22 rue du Général de Castelnau,7.751067,48.589035,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085113
Immeuble,"33, 35, 37 rue des Grandes Arcades",7.74713,48.583052,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085122
Immeuble,"47, 49 rue des Grandes Arcades",7.74743,48.582655,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085123
Immeuble,17 rue des Hallebardes,7.749544,48.582229,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000012
Immeuble,"22 rue des Hallebardes
15 place de la Cathédrale",7.749587,48.582101,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085130
Immeuble,6 quai Kléber,7.743418,48.586061,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085284
Immeuble,13 rue Martin Bucer,7.733708,48.581349,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085139
